Gene_Id	Gene_desc	Box
Tb927.8.3620	folate transporter  putative	<input id="checkbox_Tb927.8.3620" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.3620">
Tb927.10.7820	hypothetical protein  conserved	<input id="checkbox_Tb927.10.7820" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.7820">
Tb09.v4.0132	expression site-associated gene 2/3 (ESAG2/ESAG3)  pseudogene	<input id="checkbox_Tb09.v4.0132" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0132">
Tb927.4.1600	AAA domain containing protein  putative	<input id="checkbox_Tb927.4.1600" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.1600">
Tb927.8.7160	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene)  putative	<input id="checkbox_Tb927.8.7160" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.7160">
Tb927.11.18880	variant surface protein (VSG)  putative (pseudogene)	<input id="checkbox_Tb927.11.18880" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.18880">
Tb927.11.14730	Metalloprotease M41 FtsH  putative	<input id="checkbox_Tb927.11.14730" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.14730">
Tb927.11.9240	hypothetical protein  conserved	<input id="checkbox_Tb927.11.9240" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9240">
Tb11.v5.0301	glycerol uptake protein  putative	<input id="checkbox_Tb11.v5.0301" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0301">
Tb927.8.1870	Golgi/lysosome glycoprotein 1	<input id="checkbox_Tb927.8.1870" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1870">
Tb927.11.5050	fumarate hydratase  class I	<input id="checkbox_Tb927.11.5050" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5050">
Tb11.v5.0606	hypothetical protein  conserved	<input id="checkbox_Tb11.v5.0606" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0606">
Tb927.7.1340	10 kDa heat shock protein  putative	<input id="checkbox_Tb927.7.1340" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.1340">
Tb927.7.7010	LSU ribosomal protein  mitochondrial  putative	<input id="checkbox_Tb927.7.7010" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.7010">
Tb927.7.4060	cysteine peptidase  Clan CA  family C2  putative	<input id="checkbox_Tb927.7.4060" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.4060">
Tb927.8.130	variant surface glycoprotein (VSG  atypical)  putative	<input id="checkbox_Tb927.8.130" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.130">
Tb927.11.5890	Domain of unknown function (DUF4505)  putative	<input id="checkbox_Tb927.11.5890" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5890">
Tb927.10.7250	hypothetical protein  conserved	<input id="checkbox_Tb927.10.7250" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.7250">
Tb927.11.7380	glycerol-3-phosphate dehydrogenase (FAD-dependent)  mitochondrial	<input id="checkbox_Tb927.11.7380" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.7380">
Tb927.8.4895	hypothetical protein	<input id="checkbox_Tb927.8.4895" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.4895">
Tb927.8.1430	SSU ribosomal protein  mitochondrial  putative	<input id="checkbox_Tb927.8.1430" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1430">
Tb927.8.1700	hypothetical protein  conserved	<input id="checkbox_Tb927.8.1700" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1700">
Tb927.3.5330	centaurin beta 5	<input id="checkbox_Tb927.3.5330" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.5330">
Tb11.v5.0877	eukaryotic translation initiation factor 3 subunit 8  putative	<input id="checkbox_Tb11.v5.0877" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0877">
Tb927.5.5560	Variant Surface Glycoprotein  putative	<input id="checkbox_Tb927.5.5560" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.5560">
Tb927.1.3120	Peptidase C50 separase  putative	<input id="checkbox_Tb927.1.3120" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.1.3120">
Tb927.8.5720	tRNA (guanine(37)-N1)-methyltransferase	<input id="checkbox_Tb927.8.5720" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.5720">
Tb927.3.1460	hypothetical protein	<input id="checkbox_Tb927.3.1460" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.1460">
Tb927.6.3400	hypothetical protein  conserved	<input id="checkbox_Tb927.6.3400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.3400">
Tb927.10.2750	deoxyhypusine synthase	<input id="checkbox_Tb927.10.2750" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.2750">
Tb927.3.330	variant surface glycoprotein  degenerate	<input id="checkbox_Tb927.3.330" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.330">
Tb927.9.7910	hypothetical protein  conserved	<input id="checkbox_Tb927.9.7910" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.7910">
Tb10.v4.0135	variant surface glycoprotein (VSG)  putative	<input id="checkbox_Tb10.v4.0135" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0135">
Tb927.11.9860	EF-hand domain pair  putative	<input id="checkbox_Tb927.11.9860" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9860">
Tb927.10.7800	cop9 signalosome complex subunit  putative	<input id="checkbox_Tb927.10.7800" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.7800">
Tb927.10.15470	hypothetical protein  conserved	<input id="checkbox_Tb927.10.15470" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.15470">
Tb927.2.6070	mitochondrial RNA binding complex 1 subunit	<input id="checkbox_Tb927.2.6070" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.6070">
Tb927.10.16310	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.10.16310" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.16310">
Tb927.10.730	ATP synthase  putative	<input id="checkbox_Tb927.10.730" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.730">
Tb927.11.19530	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.11.19530" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.19530">
Tb927.9.1410	SUMO-interacting motif-containing protein	<input id="checkbox_Tb927.9.1410" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.1410">
Tb927.11.8970	ribose 5-phosphate isomerase  putative	<input id="checkbox_Tb927.11.8970" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.8970">
Tb927.9.500	variant surface glycoprotein  fragment	<input id="checkbox_Tb927.9.500" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.500">
Tb927.11.7540	electron-transfer-flavoprotein  alpha polypeptide  putative	<input id="checkbox_Tb927.11.7540" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.7540">
Tb927.10.100	expression site-associated gene 2 (ESAG2)  degenerate	<input id="checkbox_Tb927.10.100" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.100">
Tb927.2.6390	variant surface glycoprotein  degenerate	<input id="checkbox_Tb927.2.6390" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.6390">
Tb927.10.9060	hypothetical protein  conserved	<input id="checkbox_Tb927.10.9060" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.9060">
Tb927.11.9400	hypothetical protein  conserved	<input id="checkbox_Tb927.11.9400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9400">
Tb927.10.3890	phosphatidylinositol-4-phosphate 5-kinase  putative	<input id="checkbox_Tb927.10.3890" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.3890">
Tb927.11.7390	NADH-ubiquinone oxidoreductase complex I  21 kDa subunit  putative	<input id="checkbox_Tb927.11.7390" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.7390">
Tb10.v4.0103	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene)  putative	<input id="checkbox_Tb10.v4.0103" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0103">
Tb09.v4.0203	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb09.v4.0203" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0203">
Tb11.v5.0697	Xaa-Pro aminopeptidase  putative	<input id="checkbox_Tb11.v5.0697" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0697">
Tb927.7.1500	Cytosolic Fe-S cluster assembly factor CFD1  putative	<input id="checkbox_Tb927.7.1500" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.1500">
Tb927.6.5830	variant surface glycoprotein  degenerate	<input id="checkbox_Tb927.6.5830" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.5830">
Tb927.9.9750	membrane- trafficking protein  putative	<input id="checkbox_Tb927.9.9750" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.9750">
Tb927.9.11030	cAMP-dependent protein kinase catalytic subunit 2	<input id="checkbox_Tb927.9.11030" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.11030">
Tb927.10.11580	predicted WD40 repeat protein	<input id="checkbox_Tb927.10.11580" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11580">
Tb11.v5.0954	variant surface glycoprotein (VSG)  putative	<input id="checkbox_Tb11.v5.0954" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0954">
Tb927.9.5860	tryparedoxin peroxidase	<input id="checkbox_Tb927.9.5860" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.5860">
Tb927.11.8040	LSU ribosomal protein  mitochondrial  putative	<input id="checkbox_Tb927.11.8040" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.8040">
Tb927.11.4770	retrotransposon hot spot protein (RHS  pseudogene)  putative	<input id="checkbox_Tb927.11.4770" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.4770">
Tb927.8.7230	hypothetical protein  conserved	<input id="checkbox_Tb927.8.7230" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.7230">
Tb927.4.3390	tuzin  putative	<input id="checkbox_Tb927.4.3390" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.3390">
Tb927.7.3990	mitochondrial DNA polymerase I protein C	<input id="checkbox_Tb927.7.3990" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.3990">
Tb927.10.8600	Vps54-like protein  putative	<input id="checkbox_Tb927.10.8600" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.8600">
Tb927.11.6790	Nucleolar protein 89	<input id="checkbox_Tb927.11.6790" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.6790">
Tb927.11.17220	variant surface glycoprotein (VSG)  degenerate and frameshifted	<input id="checkbox_Tb927.11.17220" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.17220">
Tb11.v5.0365	hypothetical protein  conserved	<input id="checkbox_Tb11.v5.0365" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0365">
Tb927.10.13610	zinc-finger of a C2HC-type/Double zinc ribbon  putative	<input id="checkbox_Tb927.10.13610" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.13610">
Tb927.10.13820	Mitochondrial SSU ribosomal protein  putative	<input id="checkbox_Tb927.10.13820" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.13820">
Tb11.v5.0436	Leucine Rich Repeat  putative	<input id="checkbox_Tb11.v5.0436" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0436">
Tb927.9.1700	btb/poz domain containing protein  putative	<input id="checkbox_Tb927.9.1700" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.1700">
Tb927.11.12440	Plus-3 domain/Zinc finger  C3HC4 type (RING finger)  putative	<input id="checkbox_Tb927.11.12440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.12440">
Tb927.9.11230	calmodulin-like protein  putative	<input id="checkbox_Tb927.9.11230" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.11230">
Tb927.11.12950	ras-like small GTPase  putative	<input id="checkbox_Tb927.11.12950" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.12950">
Tb927.11.8680	DNA polymerase kappa  putative	<input id="checkbox_Tb927.11.8680" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.8680">
Tb11.v5.0992	hypothetical protein  conserved	<input id="checkbox_Tb11.v5.0992" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0992">
Tb927.9.260	expression site-associated gene 3 (ESAG3)  fragment	<input id="checkbox_Tb927.9.260" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.260">
Tb927.10.5690	procyclin-associated gene 2 (PAG2) protein  putative	<input id="checkbox_Tb927.10.5690" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.5690">
Tb927.6.120	Protein of unknown function (DUF1181)  putative	<input id="checkbox_Tb927.6.120" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.120">
Tb927.7.640	hypothetical protein  conserved	<input id="checkbox_Tb927.7.640" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.640">
Tb09.v4.0034	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb09.v4.0034" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0034">
Tb927.9.17570	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.9.17570" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.17570">
Tb927.4.460	Alkylated DNA repair protein (alkB homolog)  putative	<input id="checkbox_Tb927.4.460" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.460">
Tb927.11.930	hypothetical protein  conserved	<input id="checkbox_Tb927.11.930" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.930">
Tb927.2.1080	retrotransposon hot spot protein 5 (RHS5)  putative	<input id="checkbox_Tb927.2.1080" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.1080">
Tb927.2.1250	hypothetical protein	<input id="checkbox_Tb927.2.1250" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.2.1250">
Tb927.8.1890	cytochrome c1  heme protein  mitochondrial  putative	<input id="checkbox_Tb927.8.1890" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.1890">
Tb927.10.13920	hypothetical protein  conserved	<input id="checkbox_Tb927.10.13920" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.13920">
Tb927.6.980	cysteine peptidase  Clan CA  family C1  Cathepsin L-like	<input id="checkbox_Tb927.6.980" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.980">
Tb927.9.1790	hypothetical protein  conserved	<input id="checkbox_Tb927.9.1790" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.1790">
Tb927.4.2980	hypothetical protein  conserved	<input id="checkbox_Tb927.4.2980" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.2980">
Tb927.1.2420	hypothetical protein	<input id="checkbox_Tb927.1.2420" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.1.2420">
Tb927.10.3910	hypothetical protein  conserved	<input id="checkbox_Tb927.10.3910" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.3910">
Tb11.0930	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb11.0930" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.0930">
Tb927.11.16080	Soluble NSF attachment protein  SNAP  putative	<input id="checkbox_Tb927.11.16080" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.16080">
Tb927.11.4070	hypothetical protein	<input id="checkbox_Tb927.11.4070" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.4070">
Tb927.7.5880	cis-prenyltransferase-like protein	<input id="checkbox_Tb927.7.5880" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.5880">
Tb11.v5.0162	proteasome beta 6 subunit	<input id="checkbox_Tb11.v5.0162" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0162">
Tb11.v5.0429	receptor-type adenylate cyclase GRESAG 4  putative	<input id="checkbox_Tb11.v5.0429" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0429">
Tb927.9.5650	E2-like ubiquitin-conjugation enzyme  putative	<input id="checkbox_Tb927.9.5650" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.5650">
Tb927.11.7790	Mitochondrial ribosomal protein S16	<input id="checkbox_Tb927.11.7790" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.7790">
Tb09.v4.0075	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb09.v4.0075" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0075">
Tb927.9.17440	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.9.17440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.17440">
Tb927.9.8070	QM-like protein	<input id="checkbox_Tb927.9.8070" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.8070">
Tb927.10.16400	variant surface glycoprotein	<input id="checkbox_Tb927.10.16400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.16400">
Tb927.10.11570	hypothetical protein  conserved	<input id="checkbox_Tb927.10.11570" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11570">
Tb927.5.710	hypothetical protein  conserved	<input id="checkbox_Tb927.5.710" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.710">
Tb927.11.10750	pre-mRNA-splicing factor CWC22  putative	<input id="checkbox_Tb927.11.10750" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.10750">
Tb927.4.820	TFIIF-stimulated CTD phosphatase  putative	<input id="checkbox_Tb927.4.820" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.820">
Tb927.10.7480	hypothetical protein  conserved	<input id="checkbox_Tb927.10.7480" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.7480">
Tb927.11.18720	variant surface protein (VSG)  putative	<input id="checkbox_Tb927.11.18720" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.18720">
Tb927.11.8360	hypothetical protein	<input id="checkbox_Tb927.11.8360" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.8360">
Tb927.10.5680	procyclin-associated gene 1 (PAG1) protein  putative	<input id="checkbox_Tb927.10.5680" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.5680">
Tb927.11.5780	DNA-directed RNA polymerase  mitochondrial	<input id="checkbox_Tb927.11.5780" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5780">
Tb927.11.15850	kinteoplast poly(A) polymerase complex 1 subunit	<input id="checkbox_Tb927.11.15850" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.15850">
Tb10.v4.0210	variant surface glycoprotein (VSG  pseudogene)  putative /product	<input id="checkbox_Tb10.v4.0210" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0210">
Tb927.11.18640	variant surface glycoprotein (VSG)  putative	<input id="checkbox_Tb927.11.18640" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.18640">
Tb927.6.5390	variant surface glycoprotein  degenerate	<input id="checkbox_Tb927.6.5390" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.5390">
Tb927.3.990	hypothetical protein  conserved	<input id="checkbox_Tb927.3.990" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.990">
Tb927.6.3010	PH domain containing protein  putative	<input id="checkbox_Tb927.6.3010" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.3010">
Tb927.9.16080	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb927.9.16080" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.16080">
Tb927.5.620	invariant surface glycoprotein  putative	<input id="checkbox_Tb927.5.620" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.620">
Tb927.10.11210	hypothetical protein  conserved	<input id="checkbox_Tb927.10.11210" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.11210">
Tb927.8.6130	hypothetical protein  conserved	<input id="checkbox_Tb927.8.6130" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.6130">
Tb927.9.14400	leucine-rich repeat protein (LRRP)  putative	<input id="checkbox_Tb927.9.14400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.14400">
Tb927.11.9610	eukaryotic translation initiation factor 3 subunit i	<input id="checkbox_Tb927.11.9610" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.9610">
Tb927.9.12360	RNA-binding protein  putative	<input id="checkbox_Tb927.9.12360" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.12360">
Tb10.v4.0051	hypothetical protein	<input id="checkbox_Tb10.v4.0051" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb10.v4.0051">
Tb927.6.4160	hypothetical protein  conserved	<input id="checkbox_Tb927.6.4160" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.6.4160">
Tb09.v4.0146	hypothetical protein	<input id="checkbox_Tb09.v4.0146" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb09.v4.0146">
Tb927.11.5365	hypothetical protein	<input id="checkbox_Tb927.11.5365" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5365">
Tb927.10.5440	RNA editing endoribonuclease	<input id="checkbox_Tb927.10.5440" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.5440">
Tb927.3.630	hypothetical protein  conserved	<input id="checkbox_Tb927.3.630" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.3.630">
Tb927.11.11910	hypothetical protein  conserved	<input id="checkbox_Tb927.11.11910" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.11910">
Tb927.11.12750	cleavage and polyadenylation specificity factor 30 kDa subunit	<input id="checkbox_Tb927.11.12750" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.12750">
Tb927.11.2650	heat shock protein 84  putative	<input id="checkbox_Tb927.11.2650" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.2650">
Tb927.8.6300	hypothetical protein  conserved	<input id="checkbox_Tb927.8.6300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.6300">
Tb927.10.12190	RAB-interacting protein  putative	<input id="checkbox_Tb927.10.12190" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.12190">
Tb927.8.7280	emp24/gp25L/p24 family/GOLD  putative	<input id="checkbox_Tb927.8.7280" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.7280">
Tb927.11.5850	RNA-binding protein 38  putative	<input id="checkbox_Tb927.11.5850" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.5850">
Tb927.7.4070	cysteine peptidase  Clan CA  family C2  putative	<input id="checkbox_Tb927.7.4070" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.7.4070">
Tb927.5.2420	NOL1/NOP2/sun family  putative	<input id="checkbox_Tb927.5.2420" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.2420">
Tb927.11.12530	Flagellum attachment zone protein 3	<input id="checkbox_Tb927.11.12530" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.12530">
Tb11.v4.0062	variant surface glycoprotein (VSG  pseudogene)  putative	<input id="checkbox_Tb11.v4.0062" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v4.0062">
Tb927.9.12450	class I transcription factor A  subunit 2	<input id="checkbox_Tb927.9.12450" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.12450">
Tb927.10.14610	leucine-rich repeat protein (LRRP)  putative	<input id="checkbox_Tb927.10.14610" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.14610">
Tb11.v5.0670	retrotransposon hot spot (RHS) protein  putative	<input id="checkbox_Tb11.v5.0670" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb11.v5.0670">
Tb927.4.2490	hypothetical protein  conserved	<input id="checkbox_Tb927.4.2490" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.2490">
Tb927.11.12460	hypothetical protein  conserved	<input id="checkbox_Tb927.11.12460" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.11.12460">
Tb05.5K5.280	expression site-associated gene 1 (ESAG1)  point mutation	<input id="checkbox_Tb05.5K5.280" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb05.5K5.280">
Tb927.10.2020	hexokinase	<input id="checkbox_Tb927.10.2020" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.10.2020">
Tb927.8.5400	hypothetical protein  conserved	<input id="checkbox_Tb927.8.5400" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.8.5400">
Tb927.1.2490	histone H3  putative	<input id="checkbox_Tb927.1.2490" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.1.2490">
Tb927.9.3130	hypothetical protein  conserved	<input id="checkbox_Tb927.9.3130" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.9.3130">
Tb927.4.3300	mitochondrial ATP-dependent zinc metallopeptidase  putative	<input id="checkbox_Tb927.4.3300" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.4.3300">
Tb927.5.3560	vesicle-associated membrane protein  putative	<input id="checkbox_Tb927.5.3560" ,="" type="checkbox" value="False" name="select" class="selection_box" selected_id="Tb927.5.3560">
